Symbol
TNDM
ICA1
KCNJ11
GCK
ABCC8
PTPRN
PDX1
HNF1B
CTLA4
CAPN10
NEUROD1
PLAGL1
WFS1
HNF4A
IAPP
AKR1B1
LEP
SLC2A4
LRP5
SLC30A8
HYMAI
GCGR
ZFP57
TAP1
IDDM11
NIDDM2
IDDM2
SLC19A2
C4A
TAP2
IL6
IDDM23
IDDM24
NIDDM4
IDDM18
IDDM13
IDDM3
IDDM15
IDDM4
IDDM5
IDDMX
IDDM8
IDDM7
NIDDM3
IDDM12
IDDM17
IDDM6
PEA15
PPARGC1B
IDE
PTPRN2
PRRC2A
SH2B3
SLC29A3
IFIH1
CLEC16A
IDDM14
IDDM16
NIDDM1
IDDM10
IDDM9
INS
HNF1A
INSR
SLC2A2
ENPP1
IGF1
PAX4
RETN
KCNJ5
TPO
CCR5
IL2RA
GCG
SUMO4
GAD1
GAD2
NAGLU
AOC3
RBP4
HLA-DQB1
IGFBP1
IRS1
LSL
PON1
ACE
ALB
APOA4
CYP27B1
AGT
AGTR1
APOA1
APOB
CST3
FOXP3
LEPR
LIPC
PLA2G7
SST
BCHE
GH1
HLA-DRB1
IGFBP3
IL1R1
PTF1A
NAMPT
ADIPOQ
ADRB3
HLA-DQA1
AMBP
PLTP
ACP1
CETP
GHRL
HP
IGFBP2
IRS2
SERPINE1
UCP1
CAT
CP
CRP
EDN1
FGA
G6PC
H6PD
IGF2BP2
IL18
LCAT
PF4
REN
SCT
SELE
SELP
SHBG
SOD1
TCF7L2
ADRB2
ALDH2
BGLAP
CXCL10
IGF2
LPA
MTHFR
NOS3
NPPB
PIK3C2A
SELL
TF
TG
VCAM1
VDR
CDKAL1
GHR
IL1B
NPY
PRKCB
ADAMTSL1
GLIS3
MAPK14
PBCA
GIP
GYS1
ZACN
CSN2
DPP4
HLA-DMB
MLNR
ONECUT1
PRSS16
UTS2
AGER
COG2
FOXC2
GLP1R
HBA1
HLA-DMA
MAPK8IP1
PON2
SOD3
SPINK1
STYX
UCP2
APOA5
APOC3
FABP2
GPX1
GPX3
HLA-DPB1
LTA
MLN
PCK2
PPARG
PSMB8
ST3GAL4
ZNF673
ACE2
AIRE
B2M
CCK
CNDP1
CPT1A
GNB3
HFE
IGFBP4
KIR3DL1
LPL
NPPA
OLR1
PDCD1
PTPN3
PTS
SOCS3
THBD
APOE
CCL2
CD79A
CTGF
CYBA
CYP21A2
GAL
GC
GGT1
GPT
GSR
HMGCR
HSD11B1
HSD11B2
HSPD1
IGF2R
IGFBP5
IL12B
ITGAM
OXA1L
PDE5A
PECAM1
PLAT
PPARA
PTPN1
PTPN22
SLC2A1
TNFRSF1B
VWF
BMP2
BMP7
C3
CASR
CCL11
CD14
CD40
CNR1
CYP2D6
CYP2E1
DNAH8
GAPDH
GSTM1
GSTT1
HGF
ICAM1
IL15
IL1RN
ITGB2
KNG1
MBL2
NOS1
PAPPA
PBX1
PTPRC
SOD2
SPP1
TNF
TNFRSF1A
AKT1
AR
CDKN3
COMT
CYP3A4
F10
F2
F5
F8
HMOX1
IL10
IL4
MMP2
MMP9
MT-ND1
NOS2
NR3C1
PIK3CG
TGFB1
TIMP1
VEGFA
IFNG
IL1RAPL2
BW32
BW33
BW34
SLC25A5P3
MT-TE
MIR144
MT-TL1
MT-RNR2
MT-RNR1
RRAD
IGFL3
SLC5A2
DUSP2
HHEX
ITLN1
MIOX
MT1A
APOM
CARTPT
CLPS
FGF21
FN3K
HTLVR
IRS4
KCNJ9
LEPROT
LPXN
MT1E
RARRES2
RDH5
RNPEPL1
ADPGK
ADRA2B
APLN
BAMBI
CLEC3B
DBP
G6PC2
GNPDA2
GPR35
KCNA3
KCTD15
KIR2DS2
KIR2DS5
MGEA5
MSBP1
NEUROG3
PCBD1
PCK1
RLN1
RLN2
SBDS
SERPINA12
SIAE
TNFRSF25
UTS2R
APOC2
CELA3B
DCAF17
DIO2
FABP4
HLA-DRB3
INPPL1
KIR2DL2
NAGA
PDP1
PNLIP
PPP1R3A
PSMB9
ADRA2C
AKR1B10
ANGPTL4
APPL1
ASL
ASPA
BSCL2
BTLA
CCL27
CPB1
DDAH2
GOT1
GOT2
GPBAR1
GPD1
HYAL1
INSL3
IP6K1
KCNJ15
KIR3DS1
KLRB1
LIPG
MC3R
MT2A
MTCH2
NUDT1
ORAI1
P2RY12
PEX2
PHOX2B
POLR2D
PRKAB2
REG1A
T
TRG@
TRIB3
AARS
ABP1
ACLY
ACP5
AHSG
AIMP1
BAIAP2L1
BTC
C10orf2
CD3D
CD63
CD96
CDKN1C
CFB
CFP
CISH
CNDP2
FABP3
FBP2
FTH1
FUCA1
GCKR
GDF15
GPX4
GYPB
GYS2
HEXB
HLA-DRB4
HLA-E
LPO
MICA
PDCD1LG2
PLIN1
PNPLA3
PPARGC1A
PSMA6
RPN2
SDC1
SLC25A4
SMAD5
SORD
SOX2
SSBP1
SULT1A3
TFAP2B
TPT1
TXNIP
UCP3
AASS
CCR2
CS
GHSR
GK
GLO1
GPD2
HK2
HLA-DRA
ITGA2B
LIPE
LNPEP
MC4R
MIF
MMP8
NISCH
PTH
PYY
SEL1L
SERPINA7
SLC11A1
SLC2A3
SOCS1
SREBF1
ABCG1
ADCY1
ADRA2A
ALOX12
ALOX5AP
ANGPT2
AOX1
ARHGEF11
ATP1A2
ATP2A2
ATP2A3
AXL
BMP4
CAPN1
CBS
CCKAR
CD274
CD69
CDKN2B
CHAT
CHGA
CLIP1
CLU
CNR2
CPE
CPT2
EPO
EXT2
FGB
FXN
G6PD
GCLC
GLB1
GNE
IGFBP7
IL1RAP
IRAK1
KLRK1
LCN2
LPIN1
MCF2L2
MTHFD1
MTTP
NR1H4
NRF1
PMP22
POLG
PPARD
PRKAA1
RHD
RPS19
SCD
SDHB
SIRPA
SLC9A3
SMAD1
SPARC
TCF3
TGFBI
THBS2
TIMP3
TJP1
TMPO
TPMT
TRH
TRPC3
TRPM2
TRPM6
TRPM7
TTF2
UMOD
USO1
ABCA1
ALMS1
APOH
CALR
CCL5
CD36
CD40LG
CIITA
CRH
CSN1S1
CTSB
CYP17A1
CYP2C19
CYP2C9
ENO2
ETS1
F3
FLNB
FTO
GNRH1
GPR39
HSPA1A
HSPA8
IFNB1
IL6R
ITGB3
KCNQ1
LRP6
MAOB
MMP14
MPO
MYO5A
NAT2
NDUFS4
NEU1
NR1H2
OGG1
PDE3B
PIK3R1
PLA2G2A
PRKAA2
RECK
RPS27A
SCARB1
SCN5A
SERPINA1
SERPINC1
SHC1
SI
SLC17A5
SLC2A9
STIM1
TFRC
THBS1
TIMP2
TNFRSF11B
TTR
UGT1A1
WRN
XRCC1
ACHE
ADA
ANGPT1
ANXA5
BDNF
CASP9
CAV1
CCL3
CDK4
CDKN2A
CFTR
CPQ
CSF1
CSF2
CYP1A1
DRD2
ELANE
EP300
ESR2
FAS
FLT1
GSTP1
HLA-A
HRAS
HSPA4
HTR2A
IFNA2
IGF1R
IL1A
ITGA2
LDLR
MMP1
MYH9
NFKBIA
NGF
NR3C2
PLAU
PLCG1
PRL
SMAD3
SMAD4
TERT
TGFB2
TLR2
TLR4
TPK1
TRB@
XDH
BAX
BCL2
CR1
DYT10
FGF2
HLA-B
IL2
IL8
KCNMA1
KLK3
MAPK10
MT-CO1
MT-CO2
MT-ND5
NFKB1
PARP1
PTGS2
TRA@
ESR1
TP53
MIR503
MT-TL2
HLA-DRB2
HLA-DRB9
ENSG00000206305
ENSG00000232062
REG1B
ANGPTL6
CYP2R1
DNASE2
ENSG00000233209
GTPBP3
HBZ
LST1
PPIC
PPRC1
PSD
SIRT4
AHSP
ATP5O
FSTL3
GH2
HBE1
HLA-DOA
HLA-DOB
HLA-DRB6
MTIF3
MYL3
NRBF2
PAOX
TREH
TRMU
TSPAN8
ACADS
AGPAT2
ALDOB
APLNR
ARG2
ASIP
CA6
CDC123
CGB7
DARS2
DEFA1
FABP5
FOXA2
GPAM
GSTM2
GYG1
HLA-DQA2
HLA-F
HPX
HRG
HSD17B1
IARS2
IGES
IMPDH2
LAP3
MAP4K2
MTIF2
MTNR1B
MTO1
NUCB2
PLA2G10
PTP4A2
S100A12
SAA4
TARS2
THY1
UROD
VNN1
APOA2
F7
PCSK1
ACTG2
ADIPOR1
ALX4
AVP
CAPN5
CLEC4A
CTSC
CXCL5
CYB5R4
CYP2J2
EIF2AK3
EPX
FABP12
FBP1
GALNT3
GTF3A
HBG1
HLA-DPA1
HLA-DRB5
IMMT
LMOD1
MSTN
OGT
PRSS1
PTGDS
SIRT3
TFAM
TSC22D3
UTS2D
A2M
ABCB7
ADAMTS13
ADAMTS9
ADM
ALPL
BTD
CX3CR1
FAAH
FGF23
FKBP1A
FPR1
GATA3
GFPT1
GPI
HMGA1
IL12A
LIPA
LOX
MED1
NOTCH2
NTS
OGDH
PAX6
PC
PDGFA
PDHX
PLOD1
PRF1
PTGIS
SERPINF2
SHH
SLC19A1
SLC22A1
SOS2
SREBF2
TFPI
TNNT2
TRIM24
UGT2B7
ABCC9
ADD1
ADORA1
AFP
ALPP
BDKRB2
CACNA1B
CD28
CD38
CD80
CD86
CDK5
ESRRB
FASLG
GZMB
HK1
HSPA1B
IL2RB
INTS3
LBR
LGR5
MUSK
NAT1
NQO1
NTF3
PDGFB
PEPD
PLEK
POMC
PSMC6
SERPINA3
SLPI
VDAC1
AMPH
APC
CACNA1D
CALCA
CGA
COL1A1
COL4A1
DMRT1
EDNRA
FASN
GAST
GNAI1
GNAS
GRIA3
GRP
HBB
HLA-C
HLA-G
HPRT1
HTR3A
HTT
ITGAL
JAZF1
LTF
LYN
MAP3K5
MB
NOS1AP
PDGFRB
PTGS1
PTHLH
S100A8
TGFBR1
THADA
TNFSF11
TYMP
ADCY10
CAMK1D
