#node1,node2,node1_string_internal_id,node2_string_internal_id,node1_external_id,node2_external_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,prediction,combined_score
PTGES3,CDC37,1845046,1842879,9606.ENSP00000262033,9606.ENSP00000222005,0,0,0,0,0.111,0.231,0,0.507,0,0.633
MTOR,CDKN1A,1854147,1843736,9606.ENSP00000354558,9606.ENSP00000244741,0,0,0,0,0,0,0,0.633,0,0.633
CUL4A,PSMD2,1856298,1849263,9606.ENSP00000364589,9606.ENSP00000310129,0,0,0,0,0,0.622,0,0.062,0,0.631
IRS1,TSC2,1848682,1842755,9606.ENSP00000304895,9606.ENSP00000219476,0,0,0,0,0,0,0,0.631,0,0.631
MAPK8,XRCC6,1853988,1853821,9606.ENSP00000353483,9606.ENSP00000352257,0,0,0,0,0,0.576,0,0.164,0,0.63
VHL,PARD6A,1844441,1842735,9606.ENSP00000256474,9606.ENSP00000219255,0,0,0,0,0,0.576,0,0.159,0,0.628
MAPK8,EGFR,1853988,1846445,9606.ENSP00000353483,9606.ENSP00000275493,0,0,0,0.622,0,0.425,0,0.939,0,0.628
HSP90AA1,PSMD10,1851814,1842679,9606.ENSP00000335153,9606.ENSP00000217958,0,0,0,0,0.079,0.569,0,0.138,0,0.628
PSMD14,RPS11,1859182,1846167,9606.ENSP00000386541,9606.ENSP00000270625,0,0,0,0,0.09,0.607,0,0,0,0.627
EIF3M,RPS3,1862022,1861952,9606.ENSP00000436049,9606.ENSP00000433821,0,0,0,0,0.627,0,0,0,0,0.627
EIF4G1,TSC2,1852064,1842755,9606.ENSP00000338020,9606.ENSP00000219476,0,0,0,0,0,0,0,0.627,0,0.627
EIF4A1,AKT1,1847443,1846136,9606.ENSP00000293831,9606.ENSP00000270202,0,0,0,0,0,0.292,0,0.493,0,0.626
STAT3,CDK4,1845584,1844551,9606.ENSP00000264657,9606.ENSP00000257904,0,0,0,0,0,0.149,0,0.578,0,0.626
CDKN2A,EIF3A,1859838,1854958,9606.ENSP00000394932,9606.ENSP00000358140,0,0,0,0,0,0.59,0,0.124,0,0.625
RPS6,IRS1,1857216,1848682,9606.ENSP00000369757,9606.ENSP00000304895,0,0,0,0,0,0,0,0.625,0,0.625
AKT1S1,TSC1,1852495,1847972,9606.ENSP00000341698,9606.ENSP00000298552,0,0,0,0,0,0,0,0.625,0,0.625
PSMA6,NEDD8,1844920,1844012,9606.ENSP00000261479,9606.ENSP00000250495,0,0,0,0,0.107,0.597,0,0,0,0.625
FOS,RPS6KB1,1848822,1843035,9606.ENSP00000306245,9606.ENSP00000225577,0,0,0,0,0,0.149,0,0.578,0,0.625
CCND3,RBX1,1855798,1842568,9606.ENSP00000362082,9606.ENSP00000216225,0,0,0,0,0,0.564,0,0.174,0,0.624
CDK2,STAT3,1845906,1845584,9606.ENSP00000266970,9606.ENSP00000264657,0,0,0,0,0,0.149,0,0.577,0,0.624
INCENP,CDK2,1858231,1845906,9606.ENSP00000378295,9606.ENSP00000266970,0,0,0,0,0.245,0,0,0.522,0,0.624
EIF3C,RPS6KB1,1851492,1843035,9606.ENSP00000332604,9606.ENSP00000225577,0,0,0,0,0,0.619,0,0.052,0,0.623
IQGAP1,PXN,1846003,1843137,9606.ENSP00000268182,9606.ENSP00000228307,0,0,0,0,0,0.385,0,0.413,0,0.623
MAPK10,CDKN1B,1853804,1843169,9606.ENSP00000352157,9606.ENSP00000228872,0,0,0,0,0,0.564,0,0.171,0,0.623
CUL2,PSMD2,1862282,1849263,9606.ENSP00000444856,9606.ENSP00000310129,0,0,0,0,0,0.622,0,0,0,0.622
RPS6,NEDD8,1857216,1844012,9606.ENSP00000369757,9606.ENSP00000250495,0,0,0,0,0.184,0.549,0,0.053,0,0.621
NEDD8,PSMB3,1844012,1843022,9606.ENSP00000250495,9606.ENSP00000225426,0,0,0,0,0.409,0.301,0,0.157,0,0.621
RPS3,TP53,1861952,1846083,9606.ENSP00000433821,9606.ENSP00000269305,0,0,0,0,0,0.564,0,0.168,0,0.621
PTK2,CDH1,1852426,1844988,9606.ENSP00000341189,9606.ENSP00000261769,0,0,0,0,0,0,0,0.621,0,0.621
RHOA,HSP90AB1,1860210,1850780,9606.ENSP00000400175,9606.ENSP00000325875,0,0,0,0,0,0,0,0.62,0,0.62
CDKN2A,MAPK10,1859838,1853804,9606.ENSP00000394932,9606.ENSP00000352157,0,0,0,0,0,0.567,0,0.159,0,0.62
INCENP,CCNB1,1858231,1844435,9606.ENSP00000378295,9606.ENSP00000256442,0,0,0,0,0.244,0,0,0.517,0,0.619
MDM2,RHOA,1861282,1860210,9606.ENSP00000417281,9606.ENSP00000400175,0,0,0,0,0,0.576,0,0.138,0,0.618
JUN,PXN,1855436,1843137,9606.ENSP00000360266,9606.ENSP00000228307,0,0,0,0,0,0,0,0.617,0,0.617
MAPK8,MAPKAP1,1853988,1845827,9606.ENSP00000353483,9606.ENSP00000265960,0,0,0,0,0,0.576,0,0.135,0,0.617
HSP90AB1,CDC42,1850780,1849707,9606.ENSP00000325875,9606.ENSP00000314458,0,0,0,0,0,0,0,0.616,0,0.616
JUN,FOXO3,1855436,1852227,9606.ENSP00000360266,9606.ENSP00000339527,0,0,0,0,0,0,0,0.615,0,0.615
PSMD12,EIF3F,1853297,1849251,9606.ENSP00000348442,9606.ENSP00000310040,0,0,0,0,0.237,0.429,0,0.188,0,0.615
TSC1,CCNB1,1847972,1844435,9606.ENSP00000298552,9606.ENSP00000256442,0,0,0,0,0,0.576,0,0.129,0,0.614
MDM2,RPS26,1861282,1853363,9606.ENSP00000417281,9606.ENSP00000348849,0,0,0,0,0,0.57,0,0.138,0,0.613
CDH2,RPS16,1846066,1844060,9606.ENSP00000269141,9606.ENSP00000251453,0,0,0,0,0,0.588,0,0.101,0,0.613
RPS15A,PSMB1,1850066,1845087,9606.ENSP00000318646,9606.ENSP00000262193,0,0,0,0,0,0.613,0,0.043,0,0.613
FOS,CDK4,1848822,1844551,9606.ENSP00000306245,9606.ENSP00000257904,0,0,0,0,0,0,0,0.611,0,0.611
PSMC2,RPS11,1847374,1846167,9606.ENSP00000292644,9606.ENSP00000270625,0,0,0,0,0,0.581,0,0.11,0,0.611
FOXO1,JUN,1857055,1855436,9606.ENSP00000368880,9606.ENSP00000360266,0,0,0,0,0,0,0,0.611,0,0.611
CCNB1,RRM2B,1844435,1844085,9606.ENSP00000256442,9606.ENSP00000251810,0,0,0,0,0.43,0,0,0.345,0,0.611
SHC1,RPS6KB1,1860266,1843035,9606.ENSP00000401303,9606.ENSP00000225577,0,0,0,0,0,0,0,0.61,0,0.61
RHOA,RPS6KB1,1860210,1843035,9606.ENSP00000400175,9606.ENSP00000225577,0,0,0,0,0,0.157,0,0.557,0,0.61
RPS26,HSP90AB1,1853363,1850780,9606.ENSP00000348849,9606.ENSP00000325875,0,0,0,0,0.096,0.584,0,0.046,0,0.609
PSMA6,CCNB1,1844920,1844435,9606.ENSP00000261479,9606.ENSP00000256442,0,0,0,0,0,0.572,0,0.125,0,0.609
PCNA,MTOR,1856984,1854147,9606.ENSP00000368438,9606.ENSP00000354558,0,0,0,0,0.065,0.149,0,0.548,0,0.609
EIF4E,AKT1S1,1861659,1852495,9606.ENSP00000425561,9606.ENSP00000341698,0,0,0,0,0,0,0,0.608,0,0.608
CUL5,BTRC,1858067,1855188,9606.ENSP00000376808,9606.ENSP00000359206,0,0,0,0,0,0.326,0,0.442,0,0.608
RPS6,MAPKAP1,1857216,1845827,9606.ENSP00000369757,9606.ENSP00000265960,0,0,0,0,0,0.462,0,0.303,0,0.608
PSMC6,RPS11,1860306,1846167,9606.ENSP00000401802,9606.ENSP00000270625,0,0,0,0,0,0.607,0,0,0,0.607
PSMD12,CCNB1,1853297,1844435,9606.ENSP00000348442,9606.ENSP00000256442,0,0,0,0,0,0,0,0.607,0,0.607
MTOR,CDK6,1854147,1845799,9606.ENSP00000354558,9606.ENSP00000265734,0,0,0,0,0.065,0.216,0,0.508,0,0.607
