#node1,node2,node1_string_internal_id,node2_string_internal_id,node1_external_id,node2_external_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,prediction,combined_score
RPS3,FAU,1861952,1861888,9606.ENSP00000433821,9606.ENSP00000431822,0,0,0,0,0.975,0.997,0.9,0.198,0,0.999
RPS3A,RPS7,1853009,1852173,9606.ENSP00000346050,9606.ENSP00000339095,0,0,0,0,0.975,0.997,0.9,0.364,0,0.999
PSMC3,PSMA6,1847998,1844920,9606.ENSP00000298852,9606.ENSP00000261479,0,0,0,0,0.262,0.996,0.9,0.414,0,0.999
RPS26,RPSA,1853363,1853012,9606.ENSP00000348849,9606.ENSP00000346067,0,0,0,0,0.951,0.992,0.9,0.234,0,0.999
PSMD14,PSMA7,1859182,1855365,9606.ENSP00000386541,9606.ENSP00000359910,0,0,0,0,0.328,0.999,0.9,0.576,0,0.999
PSMD12,PSMD1,1853297,1849179,9606.ENSP00000348442,9606.ENSP00000309474,0,0,0,0,0.23,0.997,0.9,0.62,0,0.999
PSMC2,PSMA3,1847374,1842599,9606.ENSP00000292644,9606.ENSP00000216455,0,0,0,0,0.396,0.995,0.9,0.377,0,0.999
PSMD2,PSMC2,1849263,1847374,9606.ENSP00000310129,9606.ENSP00000292644,0,0,0,0,0.276,0.999,0.9,0.799,0,0.999
PSMD4,PSMD8,1854905,1842478,9606.ENSP00000357879,9606.ENSP00000215071,0,0,0,0,0.621,0.999,0.9,0.803,0,0.999
RICTOR,EIF4EBP1,1853522,1852358,9606.ENSP00000349959,9606.ENSP00000340691,0,0,0,0,0,0.999,0,0.882,0,0.999
PSMA7,PSMB7,1855365,1844696,9606.ENSP00000359910,9606.ENSP00000259457,0,0,0,0,0.729,0.997,0.9,0.671,0,0.999
ARPC1B,ARPC3,1844155,1843162,9606.ENSP00000252725,9606.ENSP00000228825,0,0,0,0,0,0.999,0.9,0.985,0,0.999
USP14,PSMC4,1844948,1842267,9606.ENSP00000261601,9606.ENSP00000157812,0,0,0,0,0.769,0.999,0,0.312,0,0.999
SUGT1,HSP90AB1,1856790,1850780,9606.ENSP00000367208,9606.ENSP00000325875,0,0,0,0,0.959,0.993,0.9,0.875,0,0.999
RPS13,RPS6,1862013,1857216,9606.ENSP00000435777,9606.ENSP00000369757,0,0,0,0,0.975,0.999,0.9,0.519,0,0.999
PSMD1,PSMD11,1849179,1844971,9606.ENSP00000309474,9606.ENSP00000261712,0,0,0,0,0.282,0.997,0.9,0.444,0,0.999
PSMB1,PSMA4,1845087,1842214,9606.ENSP00000262193,9606.ENSP00000044462,0,0,0.29,0,0.921,0.999,0.9,0.739,0,0.999
PSMD3,PSMA3,1845579,1842599,9606.ENSP00000264639,9606.ENSP00000216455,0,0,0,0,0.288,0.998,0.9,0,0,0.999
FAU,RPS11,1861888,1846167,9606.ENSP00000431822,9606.ENSP00000270625,0,0,0,0,0.894,0.995,0.9,0.234,0,0.999
CTNNB1,CDH2,1852818,1846066,9606.ENSP00000344456,9606.ENSP00000269141,0,0,0,0,0,0.999,0.9,0.967,0,0.999
PSMD3,PSMD8,1845579,1842478,9606.ENSP00000264639,9606.ENSP00000215071,0,0,0,0,0.303,0.999,0.9,0.888,0,0.999
CTNNB1,EGFR,1852818,1846445,9606.ENSP00000344456,9606.ENSP00000275493,0,0,0,0,0,0.958,0.9,0.922,0,0.999
RPS13,RPS29,1862013,1858354,9606.ENSP00000435777,9606.ENSP00000379339,0,0,0,0,0.94,0.997,0.9,0.544,0,0.999
RPS28,RPS11,1864786,1846167,9606.ENSP00000472469,9606.ENSP00000270625,0,0,0,0,0.74,0.999,0.9,0.696,0,0.999
PSMB2,PSMD1,1855861,1849179,9606.ENSP00000362334,9606.ENSP00000309474,0,0,0,0,0.144,0.995,0.9,0.366,0,0.999
PSMD13,PSMD4,1859976,1854905,9606.ENSP00000396937,9606.ENSP00000357879,0,0,0,0,0.67,0.999,0.9,0.694,0,0.999
RPS3,RPSA,1861952,1853012,9606.ENSP00000433821,9606.ENSP00000346067,0.067,0,0,0,0.975,0.997,0.9,0.511,0,0.999
FAU,RPS12,1861888,1843234,9606.ENSP00000431822,9606.ENSP00000230050,0,0,0,0,0.975,0.995,0.9,0.224,0,0.999
RPS8,RPS21,1858412,1852991,9606.ENSP00000379888,9606.ENSP00000345957,0,0,0,0,0.975,0.999,0.9,0.238,0,0.999
SHC1,GAB2,1860266,1854264,9606.ENSP00000401303,9606.ENSP00000354952,0,0,0,0,0.08,0.961,0.9,0.905,0,0.999
RPS3,RPS8,1861952,1858412,9606.ENSP00000433821,9606.ENSP00000379888,0,0,0,0,0.975,0.999,0.9,0.715,0,0.999
RPS20,RPS10,1861789,1853151,9606.ENSP00000429374,9606.ENSP00000347271,0,0,0,0,0.872,0.994,0.9,0.683,0,0.999
HC3,PSMB7,1862989,1844696,9606.ENSP00000455744,9606.ENSP00000259457,0,0,0,0,0.573,0.999,0.72,0.521,0,0.999
PSMC6,PSMD4,1860306,1854905,9606.ENSP00000401802,9606.ENSP00000357879,0,0,0,0,0.697,0.999,0.9,0.504,0,0.999
PSMC6,PSMB2,1860306,1855861,9606.ENSP00000401802,9606.ENSP00000362334,0,0,0,0,0.872,0.995,0.9,0.323,0,0.999
ARPC4,ACTR3,1859328,1845311,9606.ENSP00000388169,9606.ENSP00000263238,0,0,0,0,0,0.999,0.9,0.934,0,0.999
CCND3,CDK2,1855798,1845906,9606.ENSP00000362082,9606.ENSP00000266970,0,0,0,0,0,0.872,0.72,0.986,0,0.999
RPS19,RPS14,1864285,1849373,9606.ENSP00000470004,9606.ENSP00000311028,0,0,0,0,0.975,0.999,0.9,0.805,0,0.999
FAU,RPS4X,1861888,1855955,9606.ENSP00000431822,9606.ENSP00000362744,0,0,0,0,0.936,0.997,0.9,0.234,0,0.999
CDK2,CDKN1A,1845906,1843736,9606.ENSP00000266970,9606.ENSP00000244741,0,0,0,0,0,0.999,0.9,0.994,0,0.999
PSMD9,PSMC6,1862152,1860306,9606.ENSP00000440485,9606.ENSP00000401802,0,0,0,0,0.073,0.999,0.9,0.832,0,0.999
RPS28,RPS12,1864786,1843234,9606.ENSP00000472469,9606.ENSP00000230050,0.462,0,0,0,0.975,0.999,0.9,0.532,0,0.999
MTOR,EIF4EBP1,1854147,1852358,9606.ENSP00000354558,9606.ENSP00000340691,0,0,0,0,0,0.999,0.9,0.995,0,0.999
CDKN2A,TP53,1859838,1846083,9606.ENSP00000394932,9606.ENSP00000269305,0,0,0,0,0,0.997,0.9,0.981,0,0.999
PSMD3,PSMB1,1845579,1845087,9606.ENSP00000264639,9606.ENSP00000262193,0,0,0,0,0.458,0.995,0.9,0.367,0,0.999
PSMD4,PSMA4,1854905,1842214,9606.ENSP00000357879,9606.ENSP00000044462,0,0,0,0,0.532,0.996,0.9,0.334,0,0.999
RPS3,RPS27A,1861952,1846244,9606.ENSP00000433821,9606.ENSP00000272317,0,0,0,0,0.974,0.999,0.9,0.242,0,0.999
RPSA,RPS16,1853012,1844060,9606.ENSP00000346067,9606.ENSP00000251453,0.462,0,0,0,0.975,0.998,0.9,0.478,0,0.999
RPS29,RPS11,1858354,1846167,9606.ENSP00000379339,9606.ENSP00000270625,0.462,0,0,0,0.859,0.999,0.9,0.661,0,0.999
RPS6,RPS27A,1857216,1846244,9606.ENSP00000369757,9606.ENSP00000272317,0,0,0,0,0.935,0.998,0.9,0.316,0,0.999
PSMB2,PSMD6,1855861,1847640,9606.ENSP00000362334,9606.ENSP00000295901,0,0,0,0,0.806,0.995,0.9,0.078,0,0.999
ARPC2,ARPC3,1847604,1843162,9606.ENSP00000295685,9606.ENSP00000228825,0,0,0,0,0.093,0.999,0.9,0.927,0,0.999
EIF3M,EIF3E,1862022,1842805,9606.ENSP00000436049,9606.ENSP00000220849,0,0,0,0,0.736,0.999,0.9,0.771,0,0.999
ACTR2,ARPC1B,1856793,1844155,9606.ENSP00000367220,9606.ENSP00000252725,0,0,0,0,0,0.999,0.9,0.924,0,0.999
BCAR1,CRK,1859585,1848191,9606.ENSP00000391669,9606.ENSP00000300574,0,0,0,0,0,0.999,0.9,0.992,0,0.999
EXOSC8,EXOSC10,1857848,1856580,9606.ENSP00000374354,9606.ENSP00000366135,0,0,0,0,0.079,0.988,0.9,0.954,0,0.999
RPSA,RPS21,1853012,1852991,9606.ENSP00000346067,9606.ENSP00000345957,0,0,0,0,0.975,0.999,0.9,0.244,0,0.999
RPS29,RPS4X,1858354,1855955,9606.ENSP00000379339,9606.ENSP00000362744,0.462,0,0,0,0.904,0.988,0.9,0.347,0,0.999
PSMC3,PSMD8,1847998,1842478,9606.ENSP00000298852,9606.ENSP00000215071,0,0,0,0,0.634,0.999,0.9,0.688,0,0.999
EIF3A,EIF3D,1854958,1842561,9606.ENSP00000358140,9606.ENSP00000216190,0,0,0,0,0.4,0.999,0.9,0.659,0,0.999
PSMA1,PSMD3,1861079,1845579,9606.ENSP00000414359,9606.ENSP00000264639,0,0,0,0,0.289,0.997,0.9,0.5,0,0.999
PSMD1,PSMD7,1849179,1842741,9606.ENSP00000309474,9606.ENSP00000219313,0,0,0,0,0.242,0.999,0.9,0.625,0,0.999
RPS16,RPS5,1844060,1842374,9606.ENSP00000251453,9606.ENSP00000196551,0.111,0,0,0,0.975,0.999,0.9,0.595,0,0.999
PSMB2,PSMC2,1855861,1847374,9606.ENSP00000362334,9606.ENSP00000292644,0,0,0,0,0.736,0.994,0.9,0.602,0,0.999
RPS3A,RPS2,1853009,1852518,9606.ENSP00000346050,9606.ENSP00000341885,0,0,0,0,0.975,0.999,0.9,0.619,0,0.999
EIF3M,EIF3D,1862022,1842561,9606.ENSP00000436049,9606.ENSP00000216190,0,0,0,0,0.675,0.999,0.9,0.48,0,0.999
PSMB2,PSMB1,1855861,1845087,9606.ENSP00000362334,9606.ENSP00000262193,0,0,0,0.712,0.975,0.999,0.9,0.839,0,0.999
RPS20,RPS5,1861789,1842374,9606.ENSP00000429374,9606.ENSP00000196551,0.462,0,0,0,0.97,0.997,0.9,0.744,0,0.999
RPS15,RPS13,1863987,1862013,9606.ENSP00000467676,9606.ENSP00000435777,0,0,0,0,0.975,0.997,0.9,0.698,0,0.999
PSMD13,PSMD7,1859976,1842741,9606.ENSP00000396937,9606.ENSP00000219313,0,0,0,0,0.409,0.999,0.9,0.71,0,0.999
PSMA1,PSMD11,1861079,1844971,9606.ENSP00000414359,9606.ENSP00000261712,0,0,0,0,0.16,0.998,0.9,0.531,0,0.999
RPS15A,RPS16,1850066,1844060,9606.ENSP00000318646,9606.ENSP00000251453,0.263,0,0,0,0.964,0.999,0.9,0.535,0,0.999
JUN,ATF2,1855436,1845482,9606.ENSP00000360266,9606.ENSP00000264110,0,0,0,0.632,0,0.999,0.9,0.987,0,0.999
EIF4EBP1,EIF4G1,1852358,1852064,9606.ENSP00000340691,9606.ENSP00000338020,0,0,0,0,0,0,0.9,0.993,0,0.999
RPS15,RPS24,1863987,1861076,9606.ENSP00000467676,9606.ENSP00000414321,0,0,0,0,0.873,0.997,0.9,0.513,0,0.999
RPS24,RPS2,1861076,1852518,9606.ENSP00000414321,9606.ENSP00000341885,0,0,0,0,0.823,0.999,0.9,0.203,0,0.999
TSC1,TSC2,1847972,1842755,9606.ENSP00000298552,9606.ENSP00000219476,0,0,0,0,0,0.999,0.9,0.994,0,0.999
RPS10,RPS11,1853151,1846167,9606.ENSP00000347271,9606.ENSP00000270625,0,0,0,0,0.756,0.998,0.9,0.71,0,0.999
PSMD14,PSMD12,1859182,1853297,9606.ENSP00000386541,9606.ENSP00000348442,0,0,0,0,0.702,0.999,0.9,0.86,0,0.999
ACTR3,ARPC3,1845311,1843162,9606.ENSP00000263238,9606.ENSP00000228825,0,0,0,0,0.072,0.999,0.9,0.933,0,0.999
PSMB7,PSMA3,1844696,1842599,9606.ENSP00000259457,9606.ENSP00000216455,0,0,0,0,0.467,0.998,0.9,0.657,0,0.999
RPS13,RPS4X,1862013,1855955,9606.ENSP00000435777,9606.ENSP00000362744,0,0,0,0,0.948,0.999,0.9,0.135,0,0.999
PSMA1,PSMA5,1861079,1846187,9606.ENSP00000414359,9606.ENSP00000271308,0,0,0.465,0.825,0.86,0.999,0.9,0.77,0,0.999
PSMD12,PSMD2,1853297,1849263,9606.ENSP00000348442,9606.ENSP00000310129,0,0,0,0,0.228,0.998,0.9,0.675,0,0.999
PSMB1,PSMD11,1845087,1844971,9606.ENSP00000262193,9606.ENSP00000261712,0,0,0,0,0.198,0.995,0.9,0.312,0,0.999
EXOSC9,EXOSC5,1857072,1842821,9606.ENSP00000368984,9606.ENSP00000221233,0.462,0,0.46,0,0.228,0.999,0.9,0.975,0,0.999
PSMA5,PSMB7,1846187,1844696,9606.ENSP00000271308,9606.ENSP00000259457,0,0,0,0,0.711,0.992,0.9,0.587,0,0.999
RPS27A,RPS5,1846244,1842374,9606.ENSP00000272317,9606.ENSP00000196551,0,0,0,0,0.971,0.998,0.9,0.264,0,0.999
RPS28,RPS4X,1864786,1855955,9606.ENSP00000472469,9606.ENSP00000362744,0,0,0,0,0.87,0.996,0.9,0.376,0,0.999
PSMA1,PSMC1,1861079,1844882,9606.ENSP00000414359,9606.ENSP00000261303,0,0,0,0,0.52,0.999,0.9,0.652,0,0.999
EIF3B,EIF3C,1854079,1851492,9606.ENSP00000354125,9606.ENSP00000332604,0,0,0,0,0.817,0.999,0.9,0.855,0,0.999
PSMD6,PSMD8,1847640,1842478,9606.ENSP00000295901,9606.ENSP00000215071,0,0,0,0,0.494,0.999,0.9,0.744,0,0.999
EXOSC2,EXOSC4,1855666,1849789,9606.ENSP00000361433,9606.ENSP00000315476,0.462,0,0.318,0,0.455,0.999,0.9,0.854,0,0.999
PSMB6,PSMB7,1846162,1844696,9606.ENSP00000270586,9606.ENSP00000259457,0,0,0.208,0.775,0.736,0.999,0.9,0.883,0,0.999
RAC1,DOCK1,1853302,1846665,9606.ENSP00000348461,9606.ENSP00000280333,0,0,0,0,0,0.963,0.9,0.981,0,0.999
PSMA1,PSMD6,1861079,1847640,9606.ENSP00000414359,9606.ENSP00000295901,0,0,0,0,0.689,0.997,0.9,0.34,0,0.999
RPS13,RPS10,1862013,1853151,9606.ENSP00000435777,9606.ENSP00000347271,0,0,0,0,0.749,0.999,0.9,0.494,0,0.999
PSMD14,PSMD8,1859182,1842478,9606.ENSP00000386541,9606.ENSP00000215071,0,0,0,0,0.407,0.999,0.9,0.859,0,0.999
FBXW7,RBX1,1846740,1842568,9606.ENSP00000281708,9606.ENSP00000216225,0,0,0,0,0,0.995,0.9,0.843,0,0.999
PSMA7,PSMC5,1855365,1849313,9606.ENSP00000359910,9606.ENSP00000310572,0,0,0,0,0.637,0.99,0.9,0.456,0,0.999
EIF3M,EIF3H,1862022,1861812,9606.ENSP00000436049,9606.ENSP00000429931,0,0,0,0,0.741,0.999,0.9,0.641,0,0.999
PSMD3,PSMC4,1845579,1842267,9606.ENSP00000264639,9606.ENSP00000157812,0,0,0,0,0.766,0.998,0.9,0.687,0,0.999
PSMC2,USP14,1847374,1844948,9606.ENSP00000292644,9606.ENSP00000261601,0,0,0,0,0.61,0.999,0,0.392,0,0.999
XRCC6,PRKDC,1853821,1849621,9606.ENSP00000352257,9606.ENSP00000313420,0,0,0,0,0,0.999,0.9,0.991,0,0.999
EIF3F,EIF3D,1849251,1842561,9606.ENSP00000310040,9606.ENSP00000216190,0,0,0,0,0.657,0.999,0.9,0.871,0,0.999
HC3,PSMB4,1862989,1847239,9606.ENSP00000455744,9606.ENSP00000290541,0,0,0,0,0.898,0.999,0.72,0.714,0,0.999
PSMD9,PSMC3,1862152,1847998,9606.ENSP00000440485,9606.ENSP00000298852,0,0,0,0,0,0.999,0.9,0.801,0,0.999
PSMD14,PSMD6,1859182,1847640,9606.ENSP00000386541,9606.ENSP00000295901,0,0,0,0,0.811,0.999,0.9,0.734,0,0.999
PSMD12,PSMA6,1853297,1844920,9606.ENSP00000348442,9606.ENSP00000261479,0,0,0,0,0.462,0.995,0.9,0.256,0,0.999
PSMD3,PSMA2,1845579,1842974,9606.ENSP00000264639,9606.ENSP00000223321,0,0,0,0,0.288,0.998,0.9,0.057,0,0.999
PSMA7,PSMC1,1855365,1844882,9606.ENSP00000359910,9606.ENSP00000261303,0,0,0,0,0.43,0.995,0.9,0.892,0,0.999
PSMD11,PSMD10,1844971,1842679,9606.ENSP00000261712,9606.ENSP00000217958,0,0,0,0,0,0.999,0.9,0.48,0,0.999
PSMD2,PSMA3,1849263,1842599,9606.ENSP00000310129,9606.ENSP00000216455,0,0,0,0,0.113,0.997,0.9,0.393,0,0.999
PSMA1,PSMD12,1861079,1853297,9606.ENSP00000414359,9606.ENSP00000348442,0,0,0,0,0.253,0.995,0.9,0.467,0,0.999
EIF3G,EIF3E,1844198,1842805,9606.ENSP00000253108,9606.ENSP00000220849,0,0,0,0,0.288,0.999,0.9,0.559,0,0.999
RPS28,RPS19,1864786,1864285,9606.ENSP00000472469,9606.ENSP00000470004,0,0,0,0,0.939,0.999,0.9,0.505,0,0.999
MAPK9,JUN,1859420,1855436,9606.ENSP00000389338,9606.ENSP00000360266,0,0,0,0,0,0.999,0.9,0.993,0,0.999
HC3,PSMA4,1862989,1842214,9606.ENSP00000455744,9606.ENSP00000044462,0,0,0.282,0.871,0.736,0.999,0.72,0.852,0,0.999
PSMB4,PSMA3,1847239,1842599,9606.ENSP00000290541,9606.ENSP00000216455,0,0,0,0,0.761,0.998,0.9,0.704,0,0.999
RPS23,RPS16,1847772,1844060,9606.ENSP00000296674,9606.ENSP00000251453,0.212,0,0,0,0.97,0.999,0.9,0.574,0,0.999
EXOSC10,EXOSC3,1856580,1850505,9606.ENSP00000366135,9606.ENSP00000323046,0,0,0,0,0.073,0.999,0.9,0.853,0,0.999
PSMD4,PSMD2,1854905,1849263,9606.ENSP00000357879,9606.ENSP00000310129,0,0,0,0,0.426,0.999,0.9,0.693,0,0.999
GRB2,EGFR,1852164,1846445,9606.ENSP00000339007,9606.ENSP00000275493,0,0,0,0,0,0.999,0.9,0.99,0,0.999
PSMB2,PSMA3,1855861,1842599,9606.ENSP00000362334,9606.ENSP00000216455,0,0,0,0,0.881,0.998,0.9,0.661,0,0.999
RPS28,RPS15,1864786,1863987,9606.ENSP00000472469,9606.ENSP00000467676,0,0,0,0,0.975,0.997,0.9,0.713,0,0.999
PSMA7,PSMA2,1855365,1842974,9606.ENSP00000359910,9606.ENSP00000223321,0,0,0.305,0.893,0.873,0.999,0.9,0.709,0,0.999
PSMC6,PSMD3,1860306,1845579,9606.ENSP00000401802,9606.ENSP00000264639,0,0,0,0,0.453,0.998,0.9,0.55,0,0.999
PSMC3,PSMB7,1847998,1844696,9606.ENSP00000298852,9606.ENSP00000259457,0,0,0,0,0.485,0.975,0.9,0.386,0,0.999
PSMB10,PSMB6,1853696,1846162,9606.ENSP00000351314,9606.ENSP00000270586,0,0,0,0.757,0.736,0.999,0.9,0.821,0,0.999
RPS4X,RPS7,1855955,1852173,9606.ENSP00000362744,9606.ENSP00000339095,0,0,0,0,0.975,0.999,0.9,0.387,0,0.999
PSMB5,PSMA3,1854354,1842599,9606.ENSP00000355325,9606.ENSP00000216455,0,0,0,0,0.702,0.999,0.9,0.799,0,0.999
NEDD8,RBX1,1844012,1842568,9606.ENSP00000250495,9606.ENSP00000216225,0,0,0,0,0.254,0.987,0.9,0.868,0,0.999
CUL5,NEDD8,1858067,1844012,9606.ENSP00000376808,9606.ENSP00000250495,0,0,0,0,0,0.999,0,0.738,0,0.999
STAT3,CCND1,1845584,1843117,9606.ENSP00000264657,9606.ENSP00000227507,0,0,0,0,0,0.915,0.9,0.952,0,0.999
PSMD6,PSMB4,1847640,1847239,9606.ENSP00000295901,9606.ENSP00000290541,0,0,0,0,0.736,0.997,0.9,0,0,0.999
PSMD10,PSMC4,1842679,1842267,9606.ENSP00000217958,9606.ENSP00000157812,0,0,0,0,0,0.999,0.9,0.88,0,0.999
EXOSC8,EXOSC5,1857848,1842821,9606.ENSP00000374354,9606.ENSP00000221233,0.462,0,0.5,0,0.231,0.999,0.9,0.927,0,0.999
RPS21,RPS7,1852991,1852173,9606.ENSP00000345957,9606.ENSP00000339095,0,0,0,0,0.975,0.998,0.9,0.582,0,0.999
RPS10,RPS23,1853151,1847772,9606.ENSP00000347271,9606.ENSP00000296674,0,0,0,0,0.865,0.993,0.9,0.524,0,0.999
RPS4X,RPSA,1855955,1853012,9606.ENSP00000362744,9606.ENSP00000346067,0,0,0,0,0.975,0.995,0.9,0.214,0,0.999
RPSA,RPS15A,1853012,1850066,9606.ENSP00000346067,9606.ENSP00000318646,0,0,0,0,0.933,0.992,0.9,0.428,0,0.999
PSMB3,PSMA2,1843022,1842974,9606.ENSP00000225426,9606.ENSP00000223321,0,0,0,0,0.952,0.999,0.9,0.685,0,0.999
PSMB4,PSMA6,1847239,1844920,9606.ENSP00000290541,9606.ENSP00000261479,0,0,0,0,0.728,0.999,0.9,0.659,0,0.999
RAC1,AKT1,1853302,1846136,9606.ENSP00000348461,9606.ENSP00000270202,0,0,0,0,0,0.627,0.9,0.993,0,0.999
RPS10,RPS7,1853151,1852173,9606.ENSP00000347271,9606.ENSP00000339095,0,0,0,0,0.83,0.999,0.9,0.711,0,0.999
RPS19,RPS16,1864285,1844060,9606.ENSP00000470004,9606.ENSP00000251453,0,0,0,0,0.975,0.999,0.9,0.799,0,0.999
RPS29,RPS15A,1858354,1850066,9606.ENSP00000379339,9606.ENSP00000318646,0.462,0,0,0,0.975,0.997,0.9,0.618,0,0.999
CDK6,CCND1,1845799,1843117,9606.ENSP00000265734,9606.ENSP00000227507,0,0,0,0,0,0.999,0.9,0.993,0,0.999
TP53,CDKN1A,1846083,1843736,9606.ENSP00000269305,9606.ENSP00000244741,0,0,0,0,0,0.999,0.9,0.981,0,0.999
EIF3C,EIF3G,1851492,1844198,9606.ENSP00000332604,9606.ENSP00000253108,0,0,0,0,0.402,0.999,0.9,0.85,0,0.999
CDK1,CCNB1,1858283,1844435,9606.ENSP00000378699,9606.ENSP00000256442,0,0,0,0,0.661,0.999,0.9,0.994,0,0.999
RPS15,RPS10,1863987,1853151,9606.ENSP00000467676,9606.ENSP00000347271,0,0,0,0,0.933,0.993,0.9,0.712,0,0.999
EIF3H,EIF3G,1861812,1844198,9606.ENSP00000429931,9606.ENSP00000253108,0,0,0,0,0.277,0.999,0.9,0.674,0,0.999
RPS24,RPS12,1861076,1843234,9606.ENSP00000414321,9606.ENSP00000230050,0,0,0,0,0.803,0.999,0.9,0.406,0,0.999
RPS8,RPS4X,1858412,1855955,9606.ENSP00000379888,9606.ENSP00000362744,0,0,0,0,0.974,0.999,0.9,0.59,0,0.999
PSMD6,PSMB3,1847640,1843022,9606.ENSP00000295901,9606.ENSP00000225426,0,0,0,0,0.684,0.991,0.9,0.168,0,0.999
RPS13,RPSA,1862013,1853012,9606.ENSP00000435777,9606.ENSP00000346067,0.075,0,0,0,0.975,0.997,0.9,0.447,0,0.999
PSMA1,PSMB10,1861079,1853696,9606.ENSP00000414359,9606.ENSP00000351314,0,0,0,0,0.75,0.998,0.9,0.42,0,0.999
SUGT1,SKP1,1856790,1843292,9606.ENSP00000367208,9606.ENSP00000231487,0,0,0,0,0.099,0.995,0,0.89,0,0.999
HSP90AA1,TP53,1851814,1846083,9606.ENSP00000335153,9606.ENSP00000269305,0,0,0,0,0,0.997,0.9,0.942,0,0.999
PSMB7,PSMC4,1844696,1842267,9606.ENSP00000259457,9606.ENSP00000157812,0,0,0,0,0.454,0.986,0.9,0.314,0,0.999
EXOSC2,EXOSC7,1855666,1845771,9606.ENSP00000361433,9606.ENSP00000265564,0.462,0,0.303,0,0.702,0.998,0.9,0.839,0,0.999
PSMD11,PSMB3,1844971,1843022,9606.ENSP00000261712,9606.ENSP00000225426,0,0,0,0,0.175,0.985,0.9,0.582,0,0.999
PSMD12,PSMD6,1853297,1847640,9606.ENSP00000348442,9606.ENSP00000295901,0,0,0,0,0.736,0.999,0.9,0.717,0,0.999
PSMD11,PSMA6,1844971,1844920,9606.ENSP00000261712,9606.ENSP00000261479,0,0,0,0,0.232,0.997,0.9,0.269,0,0.999
PSMB3,PSMC4,1843022,1842267,9606.ENSP00000225426,9606.ENSP00000157812,0,0,0,0,0.464,0.991,0.9,0.344,0,0.999
EIF3I,EIF3D,1855943,1842561,9606.ENSP00000362688,9606.ENSP00000216190,0,0,0,0,0.729,0.999,0.9,0.868,0,0.999
CDK1,CCNA1,1858283,1844380,9606.ENSP00000378699,9606.ENSP00000255465,0,0,0,0,0.288,0.986,0.9,0.985,0,0.999
CUL1,RBX1,1850867,1842568,9606.ENSP00000326804,9606.ENSP00000216225,0,0,0,0,0,0.999,0.9,0.943,0,0.999
PSMD12,PSMC3,1853297,1847998,9606.ENSP00000348442,9606.ENSP00000298852,0,0,0,0,0.661,0.997,0.9,0.65,0,0.999
PSMA5,PSMD11,1846187,1844971,9606.ENSP00000271308,9606.ENSP00000261712,0,0,0,0,0.226,0.995,0.9,0.444,0,0.999
EIF3B,EIF4G1,1854079,1852064,9606.ENSP00000354125,9606.ENSP00000338020,0,0,0,0,0.133,0.886,0.9,0.953,0,0.999
PSMC2,PSMB3,1847374,1843022,9606.ENSP00000292644,9606.ENSP00000225426,0,0,0,0,0.736,0.969,0.9,0.398,0,0.999
PSMA7,PSMD4,1855365,1854905,9606.ENSP00000359910,9606.ENSP00000357879,0,0,0,0,0.334,0.999,0.9,0.34,0,0.999
ARPC5,ARPC3,1853912,1843162,9606.ENSP00000352918,9606.ENSP00000228825,0,0,0,0,0.243,0.999,0.9,0.937,0,0.999
PSMC6,PSMC5,1860306,1849313,9606.ENSP00000401802,9606.ENSP00000310572,0,0,0.516,0.93,0.778,0.999,0.9,0.986,0,0.999
PSMA2,PSMD8,1842974,1842478,9606.ENSP00000223321,9606.ENSP00000215071,0,0,0,0,0.699,0.997,0,0.287,0,0.999
EXOSC7,EXOSC5,1845771,1842821,9606.ENSP00000265564,9606.ENSP00000221233,0.462,0,0.487,0,0.721,0.995,0.9,0.937,0,0.999
RPS13,RPS16,1862013,1844060,9606.ENSP00000435777,9606.ENSP00000251453,0,0,0.269,0,0.975,0.999,0.9,0.702,0,0.999
RPS26,RPS11,1853363,1846167,9606.ENSP00000348849,9606.ENSP00000270625,0,0,0,0,0.932,0.999,0.9,0.503,0,0.999
EXOSC6,EXOSC1,1860092,1855369,9606.ENSP00000398597,9606.ENSP00000359939,0,0,0,0,0.243,0.999,0.9,0.932,0,0.999
PSMB5,PSMA5,1854354,1846187,9606.ENSP00000355325,9606.ENSP00000271308,0,0,0.302,0,0.937,0.982,0.9,0.803,0,0.999
RPS26,RPS15A,1853363,1850066,9606.ENSP00000348849,9606.ENSP00000318646,0,0,0,0,0.949,0.997,0.9,0.398,0,0.999
PSMD1,PSMB1,1849179,1845087,9606.ENSP00000309474,9606.ENSP00000262193,0,0,0,0,0.14,0.995,0.9,0.434,0,0.999
RPS3,RPS7,1861952,1852173,9606.ENSP00000433821,9606.ENSP00000339095,0,0,0,0,0.975,0.998,0.9,0.586,0,0.999
FOXO3,SIRT1,1852227,1842473,9606.ENSP00000339527,9606.ENSP00000212015,0,0,0,0,0,0.995,0.9,0.995,0,0.999
PSMD1,PSMC2,1849179,1847374,9606.ENSP00000309474,9606.ENSP00000292644,0,0,0,0,0.453,0.999,0.9,0.735,0,0.999
RPS10,RPS2,1853151,1852518,9606.ENSP00000347271,9606.ENSP00000341885,0,0,0,0,0.893,0.997,0.9,0.531,0,0.999
RPS24,RPS21,1861076,1852991,9606.ENSP00000414321,9606.ENSP00000345957,0,0,0,0,0.736,0.997,0.9,0.446,0,0.999
