IL1RAP
CTNNB1
IL12A
FGFR2
SREBF2
SMAD3
MLH3
NRG1
RB1
IL8
MED1
JUN
MUC1
CDKN2A
GSK3B
MET
BCL2L11
ILK
SKP2
PTEN
ABL1
BRCA1
JAK2
CTNNB1
F2
JUN
JAK2
AR
CTLA4
NFE2L2
PTEN
TGFA
JAK2
ETS1
TP53
CHEK2
NOS3
MTOR
HRAS
NOTCH1
BCL2L1
VEGFA
AR
BBC3
SRC
FGFR2
MTOR
BBC3
SMAD4
HRAS
SMAD4
TIMP3
SRC
HIF1A
IFNA2
RB1
SKP2
IL2RA
RELA
STAT1
NFE2L2
MAPK8
MYC
BRCA1
CCR5
CCND1
XIAP
ABCD3
BID
AKT1
PMS2
RAC1
HSPA9
BID
AKT1
JAK2
ARNT
NRG1
SRC
AR
IGF1
MEN1
JUN
CFLAR
EGFR
GSK3B
AKT1
F5
RELA
RELA
APOA1
SFN
TNFSF10
PRKDC
CCNE1
CDKN2A
NR5A2
SMAD3
TP53
CDKN2A
RRM2
CTNNB1
MED1
FASLG
ITGAL
EGFR
PRDM1
HRAS
CFLAR
JAK2
PTEN
IFNGR1
MUTYH
ENO1
BCL2
CTNNB1
MMP9
BRCA1
MAPK8
HEY1
BCL2L11
PTEN
CTNNB1
PRKDC
CXCL1
EGFR
CHEK2
CCNE1
ARNT
RB1
NOTCH1
AR
STAT3
JUN
VEGFA
GSK3B
PEX5
SMAD3
EDN1
SMAD2
ATM
PEX19
BRCA1
NRP1
CCR2
CTNNB1
GSK3B
BCL2
SRC
BCL2
PARVB
PTEN
BCL2L1
MYC
CASP8
RAC1
IRS2
IGF1
AKT1
FST
CEBPB
NOD2
ATP7A
IFNGR1
MAPK8
SOD2
PMS2
BRCA2
BCL2L11
CCNA1
CTNNB1
ATP5H
E2F1
PEX5
SRC
CTNNB1
ADAM17
TSEN54
AGT
BCAR1
PEX19
BCAR1
BCL2L11
ABL1
COPS5
CASP8
FLT1
STAT1
PLG
SOCS3
ITGAM
FGFR2
GSK3B
JUN
JUN
ATOX1
EGFR
CHP1
CUL2
LDLR
MSH2
TSC1
TIMP2
IGF1R
IKBKG
TP53
CXCR2
FGFR2
IGF2
TNFRSF10B
IRS1
SSTR2
GSK3B
MAP3K8
SRC
CCNY
ERBB2
MCL1
JUN
PEX19
HRAS
BAX
IGF2
MSH6
RAC1
STAT1
CEBPA
NFKB1
PLAU
CCL5
F2R
EGFR
FAS
BRCA1
TGFBR2
FASLG
TSC1
AXIN1
ENO3
MSH6
JUN
FOS
VEGFA
CFLAR
JAK2
CASP8
STAT1
SDHB
MAPK14
PEX5
SDHB
VEGFA
PDGFB
IRS1
CDKN1A
PMS2
SERPINC1
VEGFB
CASP8
MMP14
MTOR
ABCC8
JUN
HEY2
BCL2
PEX14
CDKN1B
CDKN2A
ATG16L1
MTOR
MAPK8
IKBKG
TP53
KRAS
PRKAA1
JAK2
MAPK8
AKT1
BRAF
MYC
AGT
PEX10
TCF4
CASP8
CD40
PARP1
SDHC
BRCA1
SLIT2
EGFR
CASP3
TERT
CD86
JUN
COPS5
SOCS1
CTNNB1
GH1
VTN
BCL2
RELA
CUL2
MYC
MC1R
MTTP
NRG1
EDNRB
TYK2
STAT3
EGFR
IGF2
PEX19
STAT1
TNK2
AKT1
TP53
RAC1
BCL2L1
PEX6
MYC
CDH1
IRS1
IGF2
CDH1
GSK3B
JUN
GNAS
AR
PARP1
MCL1
RAC1
CCS
IGF1
BIRC3
TP53
GDNF
BIRC3
SRC
SRC
RPS6
MCL1
ATF3
EGFR
DPYD
MMP2
ATF3
ABL1
SMAD4
PEX19
AGT
MYC
ARID1B
STAT1
NOTCH1
ERBB2
TRIM24
LDLR
LEP
SLC2A1
PEX26
CD44
PRKAA1
AKT1
RAC1
STAT1
KRT18
RAC1
PTEN
MYC
STAT6
CCR1
PDGFB
GCKR
WWOX
VCAM1
CASP8
PTK2
SRC
SST
TP53
MMP9
FOSL2
MAPK8
IGFBP1
SOCS3
PIK3CA
SRC
YBX1
EGFR
IRS2
RAC1
BIRC3
BRCA1
BCL2L11
PLAU
TJP2
NLRP3
EGFR
LPL
EHMT2
FASLG
MUC1
NFE2L2
NOS3
GSTP1
SERPINC1
IL13
HIF1A
MLH3
POMC
MMP14
NOS3
PTGS2
ICAM1
JUN
CCR1
ACACA
AKT1
PEX2
CTNNB1
STAT3
HRAS
CYCS
MLH3
CTNNB1
SMAD3
FASLG
SMAD4
BCAR1
TP53
STK11
MMP1
FAS
SOCS1
STAT6
MTHFR
LDLR
COL4A1
MET
IKBKG
PEX19
CCNA1
LPL
JUN
APOE
MYC
HIF1A
MMP9
CEBPB
MYC
ADAM17
IL1R2
AR
JUN
MYC
IQGAP1
RELA
AKT1
HIC1
LEP
GADD45A
STAT1
ERBB4
GCG
MMP9
NOTCH1
PKM
IRS1
RELA
SRC
HRAS
FOS
CTNNB1
IL1R2
MAPK8
E2F1
STAT1
BRCA2
MYC
CSF2
IGF1
CDKN2A
BCL2
IL6
MED1
IGF1R
STAT1
CASP3
DNMT3B
SRC
IL1B
MTOR
IQGAP1
MED1
CXCL1
MYC
IL8
GSTM1
CD14
GADD45A
PDGFRB
MYC
BBC3
LPL
RUNX3
JUN
BMP7
SRC
MYC
SMAD4
PSMB10
CEBPB
CTNNB1
MYC
COPS5
ETS1
RELA
PHB
CFLAR
MYC
CPOX
TNFRSF1B
IL6
IL4
AR
MTOR
STAT1
CASP8
FECH
NRG1
STAT1
AR
LTA
NFE2L2
SRC
CPS1
DHCR7
MYC
TP53
PRKDC
PARK7
IRS1
PTEN
CD44
LEP
SOCS3
SOCS3
ADIPOQ
JUN
RPS6
JUN
SOCS3
PRKAA1
ERBB4
PGK1
TPM4
NOTCH3
TP53
CXCL2
CCL5
IL5
F2
PDX1
JAK2
FGF2
IRS2
CD44
CTNNB1
CD40
BCAR1
GHRL
SOCS1
HSPB1
SDHAF2
CHD8
STAT1
PEX13
AHR
HIF1A
CCR5
F5
DDIT3
CASP8
CYP17A1
JAK2
COPS5
GCG
FOS
BRCA2
CXCL12
PRKCA
LEP
XBP1
COMMD1
AR
KRT8
E2F1
RAC1
RAC1
TNF
MCL1
MMP9
RPS6KA3
JAK2
NOTCH1
STAT3
FOS
KSR1
MMP9
SRC
JAK2
JAK2
WT1
CEBPA
CSF2
RELA
KSR1
PEX2
DDX58
SMAD3
PTGS2
CXCL12
RELA
SOCS3
SMAD3
MAPK8
ADAM17
GSTP1
PTEN
IL2
EDN1
MEN1
THEM4
AVP
IL17A
TGFBR2
VEGFA
HNF4A
SMAD4
PPARG
MYC
PEX13
JAK2
TP53
THBS1
MAPK8
PTK2
IGF1
IL8
JUN
NDRG1
IL22
JUN
ATRX
ETS1
RPS6KA4
JAK2
MYC
SRC
NOTCH1
JUN
ALB
VEGFA
PRKCD
TGFA
TGFB1
BCAR1
IL17A
ABL1
IRS2
ABL1
JAK2
EDN1
MYC
TP53
SFN
MMP9
JAK2
MTOR
MAPK8
IL18
JUN
JAK2
IL1B
CTNNB1
ERBB4
EDN1
SERPINE1
RB1
FOS
XIAP
CTNNB1
TNFRSF10B
JUN
VEGFA
E2F1
CDKN1A
ACTB
CDKN2A
FGF2
SOCS1
NR0B2
RET
IL8
SRC
MAF
TRPV1
IL3
PRKCA
CDKN2A
TP53
E2F1
HRAS
MYC
HIF1A
MMP1
CASP3
MYC
SMAD4
BLVRA
IRS2
PTK2
JUN
AR
TGFB1
CSF2
E2F1
PGK1
CCL20
XIAP
STAT1
LEPR
ICOSLG
SMAD3
SMAD4
CASP8
NOTCH1
IL8
GSK3B
IRS2
RB1
STAT4
ERBB2
EGFR
MMP9
PEX5
HRAS
FGFR2
FASLG
FOXA1
SRC
FOS
CASP3
VEGFA
PRKCD
RRM2
JUN
CEBPD
GHRL
PRKCA
MMP9
ERBB4
IL18
IL1R2
FOS
PRKCA
APOE
VEGFA
RAC1
IL10
IL8
SSTR3
RAC1
RELA
RAC1
DDIT3
ERBB4
PPARG
HIF1A
SMAD3
CSF2
SC5DL
IL5
JUN
FOS
RELA
TGFBR2
HSD17B4
IL11
DPYD
MAF
FOS
SRC
CDKN2A
CYP1A1
RPS6
KNG1
SMAD3
FOS
TP53
BCL2
TNFRSF10B
HIC1
RELA
PRNP
CD86
TP53
XIAP
PEX2
IL12RB1
AFP
TP53
AGT
PLIN2
ACE
VEGFA
TAC1
PTEN
ERBB2
BCL2
TP53
SKP2
ABL1
VEGFA
RAC1
PIK3CA
CYP17A1
EDN1
SMAD4
TNF
STAT1
STAT1
INHBE
GSTA2
IGF2
CXCL12
CSF2
PTEN
EDN1
JAK2
MBTPS1
SRC
MMP9
IL1B
JUN
EGFR
NOTCH1
SMAD3
INS
CYP1A1
BIRC3
MYC
PCK1
IGF2
STAT3
TPM1
LEPR
IDH1
SLC9A1
IRS1
SMAD4
AGT
HIF1A
ERBB4
BIRC5
STAT1
EGFR
CYP1A1
HIF1A
HEY1
JUN
JUN
HNF4A
MAPK14
BCL2L11
EDN1
SRC
IGF1R
CFLAR
BTG2
TP53
SOCS1
MTOR
EDN1
SFN
MMP9
NRP1
ALAD
FOS
FOXM1
TGFBR2
IGF1R
EDN1
HEY1
EGFR
TSLP
MAPK8
CHP1
SMAD3
MTOR
VEGFA
TSPO
XIAP
PPOX
JUN
PGK1
VEGFA
IGF1
MTOR
JUN
NOTCH1
JUN
PEX14
CUL2
AR
FGF2
ARNT
BCL2
PPARG
CXCL12
ALOX5AP
FOS
PLA2G4A
SOCS1
AGT
ADIPOQ
E2F1
RELA
ABL1
MTR
PLG
FGF13
CFLAR
EDNRB
LEP
JUN
MYC
MYC
SOCS3
JAK2
HMGCR
SLIT2
MYC
JUN
JUN
CCL7
CDKN2A
SOCS3
ITGAM
CTLA4
SREBF2
GCG
MMP1
IL12RB1
MYC
RAC1
RASSF1
JAK2
IRS2
MUC2
AR
EGFR
FGF13
CDK14
HRAS
IGF1
HIF1A
JUN
SRC
VEGFA
TF
AVP
SLC11A2
CP
ETS1
RUNX3
CCR1
AR
DDIT3
BTG2
PLAU
SMAD4
PTK2
AGT
IL9
MYC
PDX1
GSTA1
PLG
MTOR
NOS3
CCK
MYC
ETS1
HIF1A
IL4
SRC
HSD17B6
GCG
PGK1
PTPN2
OAT
CTNNB1
ATG16L1
PTGS2
CAMK2A
NR0B2
TSEN34
RB1
RPS6KA3
JUP
PRF1
IL9
MAPK8
MCL1
TSEN54
EGFR
SRC
CHEK2
ITGAM
PHB
SMAD4
PARP1
IRF5
PTEN
MUC1
SMAD2
CCR4
BCL2L1
NR1H4
MMP9
SRC
SMAD3
HLA-DQB1
BRCA1
AXIN1
CD247
VEGFA
CHEK2
MCL1
STAT4
STAT4
BRCA1
RB1
NOS3
STK11
TCF4
XPA
ETS1
ABCG8
ICOSLG
ETS1
AR
MBTPS2
INS
CD40
NOTCH3
IRF2
GSK3B
BID
TXN
HNF4A
DAXX
TYROBP
MUTYH
PRKCE
TXN
BRCA2
JAK2
ACADM
MYC
ILK
RELA
ALDOB
SRC
FOS
RELA
PLAU
COPS5
ABL1
DDIT3
AKT1
HIF1A
RELA
MAPK14
IGF1R
GRK5
TNF
CCND1
IL10
PPARA
CASP3
ERBB4
IL22
CYCS
PPARG
PEX2
NLRC4
TP53
MUTYH
CEBPB
SREBF1
TP53
RELA
ERBB2
PTEN
TF
IL12RB1
IL12RB1
FLT1
AKT1
CEBPA
SLC30A7
JAK2
CEBPB
CYP7B1
ACTB
IKZF3
MAPK8
CEBPD
PRNP
FGA
IL8
PEX3
EGFR
PEX19
FGF13
SCNN1A
AKAP13
AR
LEPR
TNF
STAT3
ACACA
SCARB1
HMGB2
E2F1
SCNN1B
IL18R1
ALDOB
ALB
BTC
IFNB1
CYP17A1
SMAD3
BRCA1
HIF1A
NR0B2
F3
PLG
A2M
CTGF
CEBPA
EDN1
XIAP
TP53
MYC
CXCL2
VEGFA
SREBF1
ALDH1A2
JAK2
KLF5
ETS1
MAGI1
PTPN2
IL12RB1
EDN1
PDX1
PLG
JAK2
TP53
JUN
CA2
GSTM1
ALDOB
NOTCH1
ADIPOQ
MYC
IL18
NR1H2
SDHB
SST
CYP2E1
FN1
EPO
SLC51B
CTNNB1
FOS
COMT
TNF
MTOR
EGFR
MAML2
GCG
BRAF
GAST
LPL
TLR4
IFNGR1
CCL5
PIK3CA
SRC
GSTP1
STAT3
MED1
PTGS2
MLN
GRK5
LPL
CXCL12
CEBPA
FOS
SLC11A2
MAOB
CTNNB1
SOD2
FAS
STAT1
CAMK2A
JUN
IRS1
IL1A
BHMT
EREG
GCG
CTNNB1
JDP2
CCK
NOS1
STAT1
PRKCA
MAML2
MYC
SKP2
SPARC
FOS
TSLP
TNF
IL10
CASP3
NOTCH3
TYMP
RELA
TP53
ALAD
EDN1
APEX1
JUN
SRC
IL10
IKBKG
AGT
CXCL12
IL13
SMAD2
JAG2
HIF1A
APOA1
TLR4
CFLAR
TSLP
CAMK2A
RET
F2
CASP3
ALDH1A1
CASP3
RAD51B
CDKN1B
AKT1
ATM
IFNG
MIF
PLG
SEMA3D
AR
DDX58
F2
PDGFB
AKT1
MTR
MEN1
ERBB4
CDH1
HADHB
JAG2
YBX1
CAMK2A
MMP9
RELA
ME1
CEBPA
JUN
SERPINA1
AKT1
MBTPS2
FOS
TF
SERPINE1
BCL2L1
HSPB1
BCL2
ALB
PRNP
STAT1
MMP9
PTK2
IFNAR2
NR5A2
MTOR
DCC
MTHFR
IL1B
PTEN
GCG
ADH7
CTNNB1
PC
UCHL1
HP
SCD
F5
BCAR1
TNF
ABCC3
MAF
HSD3B2
CASP8
FOS
AR
MST1
TH
BBC3
PTEN
ETFA
SKP2
PTEN
SMAD4
HNF4A
BCL2
STAT1
CTNNB1
EPHX1
PEX14
TNF
AKT1
MAPK8
SRC
IKZF3
BID
HAO2
BCL2
PRKCD
ALDH1B1
MLN
ANXA2
ERBB2
FOS
CYP1A2
GSTM1
AKT1
TERT
ERBB3
ATM
SREBF1
NCF4
HNF4A
TNF
BRCA1
VEGFA
VEGFA
GSTP1
LAT
POMC
EDN1
EHMT2
PTEN
PPARG
TJP2
SST
MBTPS2
BCL2
INS
CYP3A4
SOCS1
FGF2
CPS1
CD40
VEGFA
ACOX1
IRF2
ADM
SH2B3
TLR4
MTOR
FPR2
IL17A
HSD3B2
AKT1
LPL
SMAD3
CXCL12
CFLAR
WWOX
PPARG
SDHA
MAPK14
PPARA
LEP
SFN
AKT1
ICAM1
JAK2
PRKDC
RB1
GSTA2
GHRL
RELA
CYP7A1
GPC3
MYC
STAT1
MAML2
SLC40A1
MTOR
DDIT3
SREBF2
CD40
TP53
REN
CCL7
PTK2
IL6
IGF1
CASP3
PDGFB
MYC
VEGFA
MET
ERBB2
HSD3B2
CCL5
SKP2
TNFRSF1B
CD40
ADH1B
JAK2
